Elderly_sub1	Elderly_sub2	1_wasserstein_distance	2_wasserstein_distance	bottleneck_distance
32431	32484	0.3984987306789927	0.09955059918465385	0.0472410050285369
32431	32485	0.40251393303781624	0.1117192702175867	0.05735072495241833
32431	32486	0.6002988718986011	0.14089173714841113	0.06892394453433193
32431	32487	0.37870332581820937	0.10793102966413078	0.06493309712315232
32431	32488	0.5502277761268901	0.13769574863331613	0.0689087041241373
32431	32489	0.6396107427289122	0.15237523515646734	0.0777898936124009
32431	32490	0.6348108678306044	0.17394467905706976	0.11088152055234202
32431	32491	0.7055020379879011	0.17981741204582002	0.07746119254450057
32431	32492	0.3768570334053804	0.11146186688165959	0.0707708242255225
32431	32493	0.4934430412347629	0.11742250854940608	0.04617274713233738
32431	32494	0.43596725679256826	0.11782864585801436	0.07124862841567914
32431	32495	0.6666920972294694	0.1395318156062021	0.049866792013236516
32431	32496	0.46720099807806287	0.1071715848094928	0.04033288833315163
32431	32497	0.5804118117744391	0.1385731329888982	0.06446451486408533
32431	32498	0.5251527545569449	0.12145379810636472	0.05521342262456813
32442	32443	0.28025577406751173	0.08845467996486772	0.04153759965420534
32442	32447	0.3605456106562962	0.09688787102636313	0.04854064395176594
32442	32450	0.4385583485743016	0.12293239818818949	0.06575087859690415
32442	32452	0.2730103892845552	0.07819070005689815	0.03949122750749379
32442	32453	0.440403152946405	0.11867482373235337	0.0598864327930238
32442	32454	0.4742165646298459	0.12226186093347252	0.05299099707321159
32442	32455	0.48471766842704245	0.1348814535431312	0.0735816082076648
32442	32457	0.2700475574151638	0.0823118815439438	0.04153759965420534
32442	32458	0.3249396051440771	0.09135371545038927	0.04153759965420534
32442	32459	0.5744706449103933	0.1391645831549763	0.053705726464443604
32442	32462	0.4042788470998024	0.11063494979594868	0.06242354093920077
32442	32463	0.31261078465102277	0.08646210923345878	0.0400173861930222
32442	32465	0.5098378793966756	0.1277763658899198	0.05653367458944658
32442	32466	0.42246422894077046	0.10988498283050098	0.0497803256784044
32442	32474	0.5243962075084674	0.12023978863498204	0.0569756108417529
32442	32475	0.4513435412426605	0.12472656885470026	0.06300703102226235
32442	32479	0.3803460518532556	0.11107588468831349	0.0546343448710126
32442	32482	0.3390541477574209	0.09636053627539537	0.04153759965420534
32442	32483	0.4298078262320821	0.11066971662872153	0.06636725677817801
32442	32484	0.41030713295093607	0.10989757563072884	0.0472410050285369
32442	32485	0.378771121413134	0.10741074114390771	0.05735072495241833
32442	32486	0.4681523950705296	0.11530941171481604	0.04945130343252335
32442	32487	0.33168575490244356	0.09548541716078988	0.04153759965420534
32442	32488	0.4386019038746339	0.1122333090170713	0.04487682403471038
32442	32489	0.4668264602841296	0.12316596546611869	0.056963554068801936
32442	32490	0.534836193678323	0.15226087857191464	0.0844945917035973
32442	32491	0.6248607497668897	0.16807008878087365	0.06669999366820456
32442	32492	0.31443566407203444	0.09725046253201972	0.04854131885397717
