Young_sub1	Young_sub2	1_wasserstein_distance	2_wasserstein_distance	bottleneck_distance
32477	32516	0.5540076982874919	0.16965333388560727	0.10389792473571441
32477	32517	0.571169767756308	0.17117977748436852	0.08386327651993009
32477	32518	0.5732820698467714	0.15019967524578048	0.08775066829858735
32477	32519	0.4208656041918084	0.1414265014066221	0.0952996347132633
32477	32520	0.5753323523626179	0.152338814022026	0.07454757758907027
32477	32521	0.4796032943033306	0.14311602014454716	0.0816287092547392
32477	32522	0.4871798320038605	0.16133266859354872	0.08839902778057329
32477	32523	0.5528534963592325	0.14943373085081393	0.0599355616153725
32477	32524	0.49405075637608964	0.1378830701102844	0.07316532442037216
32477	32525	0.5150953736804539	0.154110672413661	0.08444869268601696
32477	32526	0.4805784136217816	0.15620201553412147	0.10389792473571441
32477	32527	0.48173620785127785	0.1352103637101685	0.061695775945721065
32477	32528	0.694367678103853	0.19445909325224686	0.0839077336653935
32478	32480	0.3887013817305118	0.10410617487314469	0.05475458784694953
32478	32481	0.4026890981386844	0.11773353127405198	0.05422007927782402
32478	32499	0.4269518091102559	0.12442203536074058	0.059628154196948224
32478	32500	0.31820719096116157	0.10027011784061618	0.06405539670883276
32478	32501	0.30580985405400124	0.09974436090234394	0.060532031268695
32478	32502	0.4804142013521679	0.13805975929069958	0.06764805522934436
32478	32503	0.4578963596068896	0.12520062116251768	0.05475458784694953
32478	32504	0.366478243173978	0.1229273806668411	0.06764805522934436
32478	32505	0.46557889311890155	0.12528430477807498	0.05475458784694953
32478	32506	0.3539761936478142	0.1036523130830219	0.0580108256868499
32478	32507	0.3412641094318352	0.10748988840591091	0.06216717538821315
32478	32508	0.524192905651782	0.13188224883890903	0.05228635228677381
32478	32509	0.38667607839346346	0.11348735182153595	0.05475458784694953
32478	32510	0.4915962040667497	0.14316545520762752	0.08358864059952897
32478	32511	0.4625753719789835	0.14668607861020122	0.0930012295883712
32478	32512	0.33351430749120753	0.10555657327636504	0.06764805522934436
32478	32513	0.36774564791640485	0.09374206906513176	0.03856222285441713
32478	32514	0.4593899118867625	0.13002532027296074	0.06400552182655439
32478	32515	0.39152648558752745	0.11492739179679387	0.051905617204675014
32478	32516	0.4107910933283566	0.127830777585593	0.06764805522934436
32478	32517	0.5293716685668793	0.17526814897365103	0.0994735213414587
32478	32518	0.45569000809057897	0.13250463809471352	0.05511942367577105
32478	32519	0.35918215451206886	0.09745673862220758	0.05475458784694953
32478	32520	0.5156785547343836	0.14277673455442638	0.06764805522934436
32478	32521	0.44666628006213693	0.15008713413228889	0.09991791900736158
32478	32522	0.5453496219034779	0.17332207811726824	0.09218295274317762
32478	32523	0.522622405786997	0.13587725550447963	0.06082374604783536
32478	32524	0.4009868470023158	0.126839092994793	0.06474576591476922
32478	32525	0.3840931057642079	0.12121995747029081	0.06764805522934436
32478	32526	0.29692188147459153	0.09395581565749565	0.05475458784694953
32478	32527	0.49822671979593275	0.16465359233868085	0.10923411178446552
32478	32528	0.5389919293129144	0.16662373153252374	0.08150179098840493
32480	32481	0.2903393481679362	0.09274779630915775	0.05553621693836808
32480	32499	0.35093840563145606	0.11256751802479328	0.08113407538115358
32480	32500	0.28517475926697866	0.09071400015201567	0.062456951183046394
32480	32501	0.30688412435519097	0.11299319063710746	0.08626443360112823
32480	32502	0.42461153334404	0.13705934074945214	0.08626443360112823
32480	32503	0.35994748793726106	0.10934267942577774	0.053879143230773474
32480	32504	0.30470690062041356	0.10241418297207716	0.07483881866606401
32480	32505	0.3452585287719163	0.10070702391299835	0.04073529744886639
32480	32506	0.31931358617931477	0.10875988064825635	0.06674718547708025
32480	32507	0.3540150583986758	0.11864856868518368	0.07794023457865562
32480	32508	0.4284165365328102	0.1118824380120054	0.052885765800894435
32480	32509	0.23715175547734302	0.07397895955770363	0.03967413378897533
32480	32510	0.3793173057705974	0.1337301703484906	0.08626443360112823
32480	32511	0.4682225289383425	0.14999395624519152	0.08626443360112823
32480	32512	0.33724732441011807	0.1132003451576586	0.08626443360112823
32480	32513	0.3959119513740674	0.11300608909942038	0.059841214127420495
32480	32514	0.3328356031203167	0.10176476188505915	0.05903723734398536
32480	32515	0.3674303096174271	0.11906881875504824	0.06963799883607236
32480	32516	0.36420479688823865	0.13401623353669478	0.08626443360112823
32480	32517	0.5648101677749602	0.18990310768247273	0.0994735213414587
32480	32518	0.5285793501288427	0.14140747091241349	0.07291745294738727
32480	32519	0.3123148089395712	0.08966542848971329	0.052431350425821255
32480	32520	0.5049211109586905	0.15116308120734614	0.08626443360112823
32480	32521	0.42298992980083966	0.14395995293841665	0.08521492349744486
32480	32522	0.47647178216133507	0.1608793753993762	0.09218295274317762
32480	32523	0.3839908984883758	0.11445124260298266	0.07227916711437121
32480	32524	0.3447859393318297	0.10312494831201223	0.06815552344901321
32480	32525	0.2922748483634042	0.113230209609171	0.08626443360112823
32480	32526	0.24217963674713333	0.0784969099553745	0.050762017566304274
32480	32527	0.3897869220702632	0.14433699574739306	0.09054296709652498
32480	32528	0.5037338539393521	0.16824370363915844	0.0835549566876721
32481	32499	0.36199659408222623	0.09868799656867627	0.049540335053702145
32481	32500	0.32986827847761785	0.09265134820652182	0.038865641266497164
32481	32501	0.3078953147514855	0.09166947896484512	0.049540335053702145
32481	32502	0.536872751617619	0.1353094967404823	0.06761731331096632
32481	32503	0.5011083841330692	0.1442276385540778	0.07320384794351231
32481	32504	0.29677391461313896	0.08743665638464962	0.036928075083446865
32481	32505	0.3767893815890258	0.10433769645695049	0.04872392549583948
32481	32506	0.32710822634236275	0.0911499289130692	0.048680189619681125
32481	32507	0.2796442718140925	0.0833884189050919	0.04892859285431239
32481	32508	0.35570119407840195	0.08879184371377903	0.033790313463816335
32481	32509	0.18229604483435924	0.05598540484363016	0.028999731087836045
32481	32510	0.40443023083253393	0.11982516665519063	0.06850245290187607
32481	32511	0.5121301204258084	0.1443561302856414	0.0803948817663711
32481	32512	0.3211762760486694	0.09147603176719143	0.049540335053702145
32481	32513	0.37781073268032983	0.11547622769463302	0.06640653231157867
32481	32514	0.39740968499605545	0.11114650477715855	0.05903723734398536
32481	32515	0.400156889286406	0.11790932193812892	0.0696379988360723
32481	32516	0.32342792099142265	0.10942820425994428	0.049540335053702145
32481	32517	0.5152893147942283	0.15952215502013029	0.07896256427317827
32481	32518	0.5375756673415922	0.13602804884472183	0.06609639549770185
32481	32519	0.3140604648532788	0.08746023913639284	0.04637603347208019
32481	32520	0.49350481439935584	0.12105247107867512	0.05575112166325091
32481	32521	0.45539674144638576	0.1366192131412622	0.07900013192409516
32481	32522	0.53164450141296	0.16790674440102474	0.09218295274317762
32481	32523	0.4157280022206307	0.12028421514055158	0.07612554464163224
32481	32524	0.3167774988605598	0.08391223157307567	0.037772269206437725
32481	32525	0.2695917784914939	0.08494528220168131	0.04802921073607258
32481	32526	0.32487769960448554	0.09683064114004347	0.049540335053702145
32481	32527	0.4010918675915975	0.13613052568961884	0.097957099931125
32481	32528	0.4754831683579973	0.14911028611295404	0.08070086480747074
32499	32500	0.3565154831533864	0.10012310854636537	0.04753180801055312
32499	32501	0.2963400126737966	0.0833085832569257	0.0338152143233128
32499	32502	0.4192084259917777	0.12343927048150627	0.06761731331096632
32499	32503	0.41914001392200767	0.13110663465240482	0.06844152681350457
32499	32504	0.300687844459289	0.08830947234622556	0.05675797718296849
32499	32505	0.3027495758049238	0.10564140365780995	0.05503918633988436
32499	32506	0.3516242138433731	0.10148691379074828	0.04793565656097254
32499	32507	0.3186070497658487	0.08963324869338989	0.038181429538753475
32499	32508	0.3809040682843566	0.09829122495723101	0.04439545667126921
32499	32509	0.3657851975413654	0.10073559627984054	0.04145994159217825
32499	32510	0.3497435227210109	0.09871574526416624	0.04461845562880429
32499	32511	0.5056031227794094	0.132100942760642	0.05830447907169578
32499	32512	0.3682147972798641	0.09515432919293063	0.04164764903173657
32499	32513	0.3577111107317255	0.09747220462365803	0.048973326926362915
32499	32514	0.4154248259124842	0.13341666725284987	0.0865684849401474
32499	32515	0.330707950650795	0.09798109935778601	0.049587960232308936
32499	32516	0.3481475598476113	0.09945190581685673	0.04985015073513743
32499	32517	0.5593021865234845	0.16887795293235197	0.0994735213414587
32499	32518	0.5782321839660739	0.14781953276111348	0.07291745294738727
32499	32519	0.32321121748070253	0.0997871753866494	0.04797736926269991
32499	32520	0.43067088239802914	0.11561863586703672	0.05653270134850352
32499	32521	0.48116011664965136	0.1515657358067947	0.08675601826834001
32499	32522	0.48159940301060344	0.16664256179719075	0.08208186574306486
32499	32523	0.38708688166049415	0.12336388953298508	0.06758058318860538
32499	32524	0.35395501647330974	0.09255914873429932	0.03744974067268392
32499	32525	0.29556455209414223	0.08081730199321081	0.036216618198535944
32499	32526	0.3053077955717745	0.09339200239414944	0.044703515508708436
32499	32527	0.3463704823361304	0.10513783753630206	0.06292182179869399
32499	32528	0.47209419926202395	0.14306989899748196	0.06838738625024177
32500	32501	0.21658687322535697	0.07998916504488995	0.050855762019773376
32500	32502	0.3519428349825107	0.11063468134225993	0.06761731331096632
32500	32503	0.41165915541497033	0.12945484366614488	0.07181624761398764
32500	32504	0.306220351703648	0.09567307239889992	0.05080478753082229
32500	32505	0.37928840744665193	0.1140802993849907	0.05855924292684822
32500	32506	0.2996911339272925	0.09805599617694728	0.0691485724153783
32500	32507	0.2920583766448334	0.09318947105519901	0.04540481955263864
32500	32508	0.43735721965964264	0.11154929047387516	0.04710093833085138
32500	32509	0.28510796663977983	0.08298107718484192	0.03825620180943168
32500	32510	0.3980208734427735	0.12367361279743849	0.07729740487744885
32500	32511	0.412034975225083	0.1342116892296366	0.08918983374194389
32500	32512	0.2554670446675828	0.0741792374099015	0.041647649031736456
32500	32513	0.40386269129436314	0.11716477539230467	0.06640653231157867
32500	32514	0.36065106882166714	0.12314980306128441	0.07887188099204656
32500	32515	0.35846980880840074	0.11520409244097753	0.0696379988360723
32500	32516	0.3742238223796032	0.11801985049903425	0.06395607999717645
32500	32517	0.46789578033386275	0.16876197004547178	0.0994735213414587
32500	32518	0.4484277902607057	0.13322018069146455	0.07291745294738727
32500	32519	0.2970972246073271	0.08358811818480147	0.04271803606671676
32500	32520	0.4276254776431541	0.12784781208930177	0.0725269291502233
32500	32521	0.39149191061288324	0.14112398194868606	0.1014416559180995
32500	32522	0.448229733765052	0.16922388430934626	0.09218295274317762
32500	32523	0.43958274374598955	0.1268252708236489	0.07612554464163224
32500	32524	0.3502663990406497	0.10549979082494547	0.06721563908109962
32500	32525	0.28775225858478165	0.09864011727600759	0.0578325081907034
32500	32526	0.2302098687751684	0.08432107862225226	0.04913075802059297
32500	32527	0.4227681355682935	0.144519226925202	0.10858857577470293
32500	32528	0.475776302120189	0.15895717727392228	0.07868700244568849
32501	32502	0.3641764081332025	0.11700731459555719	0.06761731331096632
32501	32503	0.3938415001622765	0.12925398789777692	0.06758738419265065
32501	32504	0.2990970199900655	0.0949075531331401	0.049448883839704805
32501	32505	0.369680229808785	0.11944575922396006	0.07004089128051572
32501	32506	0.2699755622746583	0.08763579930287373	0.048494968937739635
32501	32507	0.2713921718248853	0.0896533940296389	0.04892859285431239
32501	32508	0.4142414721829174	0.11454070315347528	0.045948659583888496
32501	32509	0.30578357363471703	0.10293540130116977	0.050855762019773376
32501	32510	0.33492910338439014	0.10364320130851935	0.05225039103853191
32501	32511	0.33917709207403046	0.10656771701386131	0.056017252638809634
32501	32512	0.2190210356577123	0.07053755300791385	0.03921808461794174
32501	32513	0.4346179913150418	0.1244792531902634	0.06640653231157867
32501	32514	0.385937268649444	0.13787003478427862	0.0865684849401474
32501	32515	0.3557872632890198	0.11645576712301856	0.0696379988360723
32501	32516	0.2846486506461429	0.10071076335756055	0.06395607999717645
32501	32517	0.4318544017775415	0.1520854693114745	0.09333556063600801
32501	32518	0.4668725273925299	0.13088578712555218	0.05511942367577105
32501	32519	0.2963523324784107	0.0944852640845703	0.050855762019773376
32501	32520	0.39277941138702427	0.11290159776947456	0.06958941272368024
32501	32521	0.41028937441668134	0.1554340680573737	0.1014416559180995
32501	32522	0.5249942272695891	0.1830117525334522	0.09218295274317762
32501	32523	0.4321485683134429	0.13253453285012	0.07252006902786368
32501	32524	0.30468692084081844	0.08787405634765404	0.05180896758010278
32501	32525	0.22113189728248955	0.0830851458794091	0.04503886470245999
32501	32526	0.17082091281155776	0.06528946255970228	0.04860121597174483
32501	32527	0.3298876324941959	0.11364099512664926	0.07541599467156868
32501	32528	0.43745956983300893	0.14600757658294447	0.07873282430188566
32502	32503	0.34301539082794297	0.12339261263155384	0.06761731331096632
32502	32504	0.5100279750663368	0.14186728144925742	0.06761731331096632
32502	32505	0.44090623735196555	0.13890135181862648	0.07004089128051572
32502	32506	0.5168678091449869	0.14597103645070839	0.0691485724153783
32502	32507	0.4915009928241477	0.13546017618202713	0.06761731331096632
32502	32508	0.5770930141599738	0.14566509991924112	0.06761731331096632
32502	32509	0.4935396049246196	0.13290296815769118	0.06761731331096632
32502	32510	0.5363037565960891	0.15106814198401097	0.08358864059952897
32502	32511	0.5455034608099582	0.16146562396650024	0.0930012295883712
32502	32512	0.3867066493199965	0.11301417475113337	0.06761731331096632
32502	32513	0.5302798334447039	0.13934789707730216	0.06761731331096632
32502	32514	0.4266531398296647	0.1354998625399646	0.0850601076303159
32502	32515	0.37418370543819174	0.10450569034787088	0.04687663399844344
32502	32516	0.5383340837018237	0.14944413560703337	0.06761731331096632
32502	32517	0.7280349325803431	0.20031093412934153	0.0994735213414587
32502	32518	0.692578717443116	0.1724951763062172	0.07291745294738727
32502	32519	0.4005039902388254	0.1207574913315937	0.06761731331096632
32502	32520	0.573807937219945	0.15848346048000186	0.07454757758907027
32502	32521	0.5940395748782404	0.18202156248364226	0.1014416559180995
32502	32522	0.4105176449170245	0.14122373701945337	0.08073317034549954
32502	32523	0.5414357806268525	0.15438624624474845	0.07227916711437121
32502	32524	0.5080134677048673	0.13539962322962162	0.06761731331096632
32502	32525	0.4399939128969133	0.13218816538913497	0.06761731331096632
32502	32526	0.4337841789601053	0.1314187735823247	0.06761731331096632
32502	32527	0.4754523805940356	0.14859147317396565	0.10996666404412181
32502	32528	0.6798169028970874	0.19084513285945928	0.08416382831405106
32503	32504	0.53216060790269	0.1574173506187142	0.07636903357672614
32503	32505	0.31748169999540166	0.09936105999594948	0.05332776019259222
32503	32506	0.5108957726068705	0.14625952870185105	0.06914857241537842
32503	32507	0.5404592278764798	0.1539157434896406	0.07636903357672614
32503	32508	0.5330115093042683	0.1392030074035419	0.057594771955719604
32503	32509	0.4568632760954213	0.13129915920089016	0.06025634798044999
32503	32510	0.5551754056985744	0.16687518080221278	0.08358864059952897
32503	32511	0.608039497375992	0.17965923122434946	0.0930012295883712
32503	32512	0.4566795544047491	0.13344056153080863	0.07636903357672614
32503	32513	0.45296357862056125	0.1169120327835565	0.05235842082030584
32503	32514	0.2958485814142625	0.10569339521639438	0.06554733379747912
32503	32515	0.37883962075970207	0.11329781176629083	0.0497252797063612
32503	32516	0.5609711869208412	0.1621826117104854	0.07636903357672614
32503	32517	0.7625598179960661	0.2119074046812043	0.0994735213414587
32503	32518	0.6845436619405626	0.1746049252196868	0.07291745294738727
32503	32519	0.286798750445731	0.09142728650438836	0.04091359924958804
32503	32520	0.6291175378630305	0.17142787615190302	0.07636903357672614
32503	32521	0.6024022365004164	0.1855496426493549	0.1014416559180995
32503	32522	0.37397720621066766	0.13750934221515973	0.07747730367651173
32503	32523	0.39003707036029134	0.11369096734614004	0.058853951282603845
32503	32524	0.5261510344476016	0.15129697830145453	0.07636903357672614
32503	32525	0.47091988837319043	0.14685364915439147	0.07636903357672614
32503	32526	0.3800405873309781	0.11669046268654998	0.053879143230773474
32503	32527	0.5399544979654034	0.17789374542599462	0.10996666404412181
32503	32528	0.6637596980907263	0.19933266410927952	0.08416382831405106
32504	32505	0.43542112160352475	0.12452348089009621	0.07004089128051572
32504	32506	0.30833167691612906	0.09908722281186454	0.04195904906296799
32504	32507	0.2599103771066599	0.07775082018747322	0.03405167937583853
32504	32508	0.3984903413897656	0.1030079513237114	0.04125806708976043
32504	32509	0.3370819575187641	0.10555107904138925	0.047172734645237635
32504	32510	0.3782643100091799	0.11026809627042759	0.05154105484874494
