Young	Elderly	1_wasserstein_distance	2_wasserstein_distance	bottleneck_distance
32304	32337	0.47229997663883405	0.13295052971996116	0.07268587453601472
32304	32338	0.5965550063124127	0.1734614358326412	0.07335488937924561
32304	32339	0.33793519109653575	0.11172049021850507	0.05986230993604946
32304	32340	0.41623248140755903	0.13774296380645554	0.08230853525124554
32304	32341	0.484962148038493	0.1396530123141746	0.08230853525124554
32304	32342	0.5601039204656262	0.15357386956239533	0.08230853525124554
32304	32343	0.4097225033710356	0.13595023714888751	0.08230853525124554
32304	32347	0.46160950951510143	0.14339599384480206	0.08230853525124554
32304	32369	0.3432389940839785	0.11181021112390833	0.06466380643812908
32304	32372	0.35941486964160785	0.12916334439033145	0.08230853525124554
32304	32373	0.35288064375835615	0.1247465343329584	0.08230853525124554
32304	32374	0.3682123273504844	0.1350319274632637	0.08230853525124554
