Node_ID,Schaefer_ROI,MPI_LEMON,ABIDE
166,7Networks_RH_Cont_Par_3,TRUE,FALSE
167,7Networks_RH_Cont_Temp_1,FALSE,FALSE
168,7Networks_RH_Cont_PFCv_1,FALSE,FALSE
169,7Networks_RH_Cont_PFCl_1,FALSE,FALSE
170,7Networks_RH_Cont_PFCl_2,FALSE,FALSE
171,7Networks_RH_Cont_PFCl_3,FALSE,TRUE
172,7Networks_RH_Cont_PFCl_4,FALSE,FALSE
173,7Networks_RH_Cont_PFCl_5,TRUE,TRUE
174,7Networks_RH_Cont_PFCl_6,FALSE,TRUE
175,7Networks_RH_Cont_PFCl_7,TRUE,TRUE
176,7Networks_RH_Cont_pCun_1,FALSE,FALSE
177,7Networks_RH_Cont_Cing_1,FALSE,FALSE
178,7Networks_RH_Cont_Cing_2,FALSE,FALSE
179,7Networks_RH_Cont_PFCmp_1,FALSE,FALSE
180,7Networks_RH_Cont_PFCmp_2,FALSE,FALSE
181,7Networks_RH_Default_Par_1,TRUE,FALSE
182,7Networks_RH_Default_Par_2,FALSE,FALSE
183,7Networks_RH_Default_Par_3,TRUE,FALSE
184,7Networks_RH_Default_Temp_1,FALSE,FALSE
185,7Networks_RH_Default_Temp_2,FALSE,FALSE
186,7Networks_RH_Default_Temp_3,FALSE,FALSE
187,7Networks_RH_Default_Temp_4,FALSE,FALSE
188,7Networks_RH_Default_Temp_5,FALSE,FALSE
189,7Networks_RH_Default_PFCv_1,FALSE,TRUE
190,7Networks_RH_Default_PFCdPFCm_1,FALSE,FALSE
191,7Networks_RH_Default_PFCdPFCm_2,FALSE,FALSE
192,7Networks_RH_Default_PFCdPFCm_3,FALSE,FALSE
193,7Networks_RH_Default_PFCdPFCm_4,FALSE,FALSE
194,7Networks_RH_Default_PFCdPFCm_5,TRUE,TRUE
195,7Networks_RH_Default_PFCdPFCm_6,TRUE,TRUE
196,7Networks_RH_Default_PFCdPFCm_7,FALSE,FALSE
197,7Networks_RH_Default_pCunPCC_1,FALSE,FALSE
198,7Networks_RH_Default_pCunPCC_2,FALSE,FALSE
199,7Networks_RH_Default_pCunPCC_3,FALSE,FALSE
